estimator,k_placements,mechanism,operating_point,target_r2,beta_true,n_subjects,rate,aur_lo,aur_hi,aur_median,dbeta_mean,dbeta_lo,dbeta_hi,n_sim
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,28,1024Hz,0.8930820763985753,1.1122867133689742,0.9956343948639044,0.0032136920912993324,-0.05618696939039125,0.06670788807068359,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,28,1024Hz,0.4469283868004332,0.5570866005333241,0.4988604193764744,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,28,1024Hz,1.6319089154366577,2.5426214900337674,1.9910080309102072,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,28,500Hz,0.8562230809465137,1.167643848476764,1.003635071545229,-0.0012949114414187552,-0.08544315020562462,0.08536926716963675,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,28,500Hz,0.3748677638271642,0.6314790688047962,0.49639418674065294,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,28,500Hz,1.5839946796799145,2.638634647380709,2.0138999393324823,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,28,500Hz,0.8982677426911135,1.1204451864471823,1.003255294171034,-0.0008172386231036906,-0.05965295304205276,0.06305493518820736,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,28,500Hz,0.45011577723631957,0.5597923877891592,0.5012022990947231,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,28,500Hz,1.6362909076948142,2.5638721038094,2.0108469752168316,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,84,1024Hz,0.9151213208982742,1.0970527847591804,1.0005403969548499,-0.0003866046713730559,-0.05162974969775883,0.04963659397412376,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,84,1024Hz,0.4269829060392391,0.5727092333521144,0.49901270987354696,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,84,1024Hz,1.7512642255972326,2.336807200288404,2.0036193342891617,,,,4000
