beta,SE,z,p,R2_marginal,n_trials,n_subjects,electrode,kind,measure
0.5073163637455469,0.022327337687101854,22.721758001564847,0.0,0.24127474968867424,1625,33,P8,real,mean_same_channel
0.5239820790766421,0.031104730526786584,16.845736008720678,0.0,0.23134349590314318,943,26,P8,pseudo,mean_same_channel
0.4572883687107196,0.0225460140596569,20.28244848516157,0.0,0.2022861240905519,1625,33,P9,real,mean_same_channel
0.515710622111447,0.030355747998358107,16.9888952214039,0.0,0.23567594158133887,943,26,P9,pseudo,mean_same_channel
0.5583254234667401,0.021188178822264907,26.350798157321666,0.0,0.3001282701377137,1625,33,PO3,real,mean_same_channel
0.6553460917078366,0.02841741548805356,23.06142484996,0.0,0.3621310787992093,943,26,PO3,pseudo,mean_same_channel
0.5578943864277848,0.020787775701870754,26.837618147745275,0.0,0.30746273332408675,1625,33,PO4,real,mean_same_channel
0.5147507933591441,0.026093262026560097,19.727345428685148,0.0,0.2917768599362676,943,26,PO4,pseudo,mean_same_channel
0.5192044002700388,0.02166557592720326,23.964486428358757,0.0,0.2663069252985637,1625,33,PO7,real,mean_same_channel
0.6048716071618023,0.026268730535965745,23.026297610143146,0.0,0.3614227198852339,943,26,PO7,pseudo,mean_same_channel
0.5066280316773296,0.02162169707820109,23.43146469238578,0.0,0.2536620023601687,1625,33,PO8,real,mean_same_channel
0.5203246708346297,0.028597503025593198,18.19475883502723,0.0,0.2599896773428621,943,26,PO8,pseudo,mean_same_channel
0.5820951721553073,0.022700404911837935,25.642501726995757,0.0,0.2874569899077011,1625,33,Pz,real,mean_same_channel
0.5824015045156935,0.024865411267149546,23.42215450444296,0.0,0.3701534380310829,943,26,Pz,pseudo,mean_same_channel
0.42637429131271043,0.021255423906065135,20.05955247926373,0.0,0.1984829330070301,1625,33,VEOG_lower,real,mean_same_channel
0.4648095565642198,0.025173091524337114,18.464540047250303,0.0,0.27210392450176063,943,26,VEOG_lower,pseudo,mean_same_channel
0.05455557168129241,0.02716578300375906,2.008245875841064,0.04461717022812106,0.002476118533373164,1625,33,C3,real,perm_entropy_to_Pz
0.049508849503507014,0.025877547677101567,1.9131971128514713,0.0557228230003286,0.0022555447474937617,1625,33,C3,real,hjorth_mob_to_Pz
0.0290942701361034,0.035197959264447395,0.8265896871325383,0.40846966462315204,0.0007236126292136264,943,26,C3,pseudo,perm_entropy_to_Pz
0.01702754508076772,0.03372353554147582,0.5049157749141078,0.6136179938825612,0.0002702751353678364,943,26,C3,pseudo,hjorth_mob_to_Pz
0.07385408915828343,0.02632430132331427,2.805547932733703,0.005023110977111056,0.0048209546149775954,1625,33,C4,real,perm_entropy_to_Pz
0.08245710041609199,0.025841727416835193,3.1908509476178977,0.0014185444208552056,0.006229098727054695,1625,33,C4,real,hjorth_mob_to_Pz
0.030909999295946126,0.03518679093908572,0.8784546266085065,0.37969705067449255,0.0008159652904007258,943,26,C4,pseudo,perm_entropy_to_Pz
0.038096162382491194,0.03565680558747987,1.068412095666468,0.285334663246676,0.0012089034380234824,943,26,C4,pseudo,hjorth_mob_to_Pz
0.049098155222164284,0.027595121612077472,1.779233152597365,0.07520154521089717,0.0019459435959223294,1625,33,C5,real,perm_entropy_to_Pz
0.025722910769219766,0.02693662610958827,0.9549418202773184,0.33960711949377553,0.0005616712761598713,1625,33,C5,real,hjorth_mob_to_Pz
0.03043676936525117,0.03456705754797608,0.8805137470265605,0.3785810613478202,0.0008203332619365418,943,26,C5,pseudo,perm_entropy_to_Pz
0.022978613970082964,0.03534421293765121,0.650137945089293,0.5156031207046703,0.00044757240592437476,943,26,C5,pseudo,hjorth_mob_to_Pz
0.07191956508136807,0.028905668494275262,2.4880782499671876,0.012843547062144411,0.0037979057619490168,1625,33,C6,real,perm_entropy_to_Pz
0.07270325822133872,0.024739909376778856,2.938703497821976,0.0032958821144515316,0.0052935115604117134,1625,33,C6,real,hjorth_mob_to_Pz
0.008264881386082328,0.034565532673428385,0.23910759496079753,0.8110221526453463,6.062450910105765e-05,943,26,C6,pseudo,perm_entropy_to_Pz
0.0776767758162583,0.034415579565064164,2.2570236154067067,0.024006599179687615,0.005369429703427727,943,26,C6,pseudo,hjorth_mob_to_Pz
0.04413340919260632,0.02600001007707453,1.697438157207519,0.0896138537363862,0.0017710419968363458,1625,33,CPz,real,perm_entropy_to_Pz
0.045391261967501866,0.026088093964816747,1.7399225113462868,0.08187262527354533,0.001859675749185267,1625,33,CPz,real,hjorth_mob_to_Pz
-0.01678181231129149,0.035481067881632876,-0.4729793468245289,0.6362279140680318,0.0002371731820107733,943,26,CPz,pseudo,perm_entropy_to_Pz
0.032785694943946904,0.0370349838565734,0.8852628388044435,0.3760148876233167,0.0008303585213343652,943,26,CPz,pseudo,hjorth_mob_to_Pz
0.018710285551116042,0.0283720145512494,0.6594627081315982,0.5095986854929029,0.000268212582042003,1625,33,Cz,real,perm_entropy_to_Pz
0.06111389677903049,0.026068613368388036,2.3443478145692214,0.019060387338541984,0.003371128295841587,1625,33,Cz,real,hjorth_mob_to_Pz
0.07105005288416284,0.03292611333969222,2.15786333938517,0.030938458551257986,0.004901055335433734,943,26,Cz,pseudo,perm_entropy_to_Pz
0.040272943546066906,0.035131244557300705,1.146356869890557,0.2516475208394102,0.0013891901745190836,943,26,Cz,pseudo,hjorth_mob_to_Pz
