subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300,dataset
sub-002,0.48069000244413135,0.28282061416553583,0.33030847912249556,0.10755432630617773,1.1754077226774502,6.220813338548499e-07,primary
sub-002,0.4805507453691136,0.28040507919838253,0.23593462794463968,0.09062147841073136,1.4578203091964594,-2.643850335705004e-06,primary
sub-002,0.46009851879434466,0.34707678987001,0.23593462794463968,0.09576616305383283,1.367355256741691,2.1956338754349392e-05,primary
sub-002,0.4719895411916225,0.34281790927730615,0.23593462794463968,0.11202397864295656,0.9035267102340081,-1.8629907937443674e-06,primary
sub-002,0.47272097167395827,0.36872328245490693,0.33030847912249556,0.1075079621724799,1.0318009755065431,-7.999055264916074e-06,primary
sub-002,0.4976998481538967,0.282719283109652,0.2831215535335676,0.08802353458852848,1.6000379461038352,2.7880994990570257e-06,primary
sub-002,0.4061290590940838,0.14677661937454325,0.18874770235571173,0.05526691007127769,1.8176615480140423,-5.009077459410939e-07,primary
sub-002,0.5059589328879753,0.41449451482755867,0.2831215535335676,0.11162478353484127,1.2518897287503876,4.993264363437643e-07,primary
sub-002,0.4732925945088999,0.2900526780661173,0.23593462794463968,0.0891545806075175,1.556669018554135,-1.7437774086047357e-06,primary
sub-002,0.49362121162026323,0.19391037454780394,0.23593462794463968,0.06386344602288167,1.7730032210530604,-3.4596653921623414e-06,primary
sub-002,0.5057562972701274,0.14761975356794962,0.23593462794463968,0.06479794260139228,1.7834705844692125,-5.146937900721317e-07,primary
sub-002,0.48645887211515215,0.20683840358203984,0.23593462794463968,0.07851884773402854,1.4648409271885738,4.510566503785769e-06,primary
sub-002,0.49120310083123603,0.2525119680244794,0.37749540471142345,0.08526921009532534,1.2517638285581436,4.64381629770033e-06,primary
sub-002,0.5340126828942373,0.31352180303430227,0.2831215535335676,0.10317951866086461,1.5631804718435902,1.065426472227153e-06,primary
sub-002,0.516228625607481,0.36959919491966764,0.37749540471142345,0.10793800074721965,1.3774304432005042,7.0870850306144584e-06,primary
sub-002,0.5078801851863846,0.41448772570780185,0.37749540471142345,0.14237089169780348,0.8471373200844682,3.112017985608321e-06,primary
sub-002,0.4732213141710635,0.25249576332673723,0.23593462794463968,0.07720831866468167,1.260135112774078,-1.3851984863846606e-06,primary
sub-002,0.4303882973556318,0.21037950958911208,0.2831215535335676,0.06025722541628056,1.8986773510822228,-4.783851298418205e-07,primary
sub-002,0.46387671331705066,0.16134783204574413,0.18874770235571173,0.05907608551701257,1.7515812526881211,6.997504377548147e-06,primary
sub-002,0.4535292183817853,0.2754350988418077,0.2831215535335676,0.08300101742094636,1.1324148642156064,-1.8402896390364108e-06,primary
sub-002,0.4841916800165828,0.1950492704181725,0.2831215535335676,0.07618984673981476,1.3172184759458088,3.815132289992968e-07,primary
sub-002,0.456950784922398,0.21486392377108507,0.2831215535335676,0.06983706266309815,1.7393404294284347,-5.467048393088092e-06,primary
sub-002,0.485854913747866,0.2526630461521996,0.2831215535335676,0.0741616368913554,1.6074372797423955,4.1214323033648754e-07,primary
sub-002,0.5004695691671726,0.38801265815693825,0.37749540471142345,0.12204706774566958,1.1835067197284104,-2.5986851883249484e-06,primary
sub-002,0.4825755390162201,0.2616994813284996,0.23593462794463968,0.09903903170438896,1.3155181728332008,5.898249099561049e-07,primary
sub-002,0.4675996296812761,0.3146345030515392,0.2831215535335676,0.09709675845073493,1.1081445245683936,6.523533719328387e-06,primary
